company,address,city
AMD,901 Thompson Pl,Sunnyvale
Signetics Corp,811 E. Arques Ave,Sunnyvale
AMD,915 DeGuigne Drive,Sunnyvale
MMI,1165 E. Arques Ave,Sunnyvale,
National Semiconductor,2900 Semicondctor Drive,Santa Clara
Fairchild,101 Bernal Road,San Jose
IBM,5600 Cottle Road,San Jose
UTC,1050 E. Arques Ave,Sunnyvale
Signetics Corp,740 Kifer Road,Sunnyvale
Signetics Corp,860 Kifer Road,Sunnyvale
Memorex Corp,1200 Memorex Drive,Santa Clara
Intel-Magnetics,2880 Northwestern Parkway,Santa Clara
Intel-SC3,3000 Oakmead Parkway,Santa Clara
Dysan,5440 Patrick Henry Drive,Santa Clara
Dysan,5200 Patrick Henry Drive,Santa Clara
SCCT,2240 S.7th Street,SJ
MMI,2175 mission College Blvd,Santa Clara
Fairchild,3105 Alfred Street,Sunnyvale
Westinghouse,401 E. Hendy Ave,Sunnyvale
Circo,940 Hamlin Court,Sunnyvale
Signetics Corp,305 Matilda Ave,Sunnyvale
Signetics Corp,3625 Peterson Way,Santa Clara
Signetics Corp,3600 Tannery Way,Santa Clara
Monsanto,2170 Lafayette Street,Santa Clara
Verbatim Corp,360 N. Pastoria Ave,Sunnyvale
Van Waters & Rogers,2256 Junction Ave,San Jose
Precision Mono,1500 Space Park Drive,Santa Clara
Data General,433 N. Matrhilda Avenue,Sunnyvale
Synertek,3050 Coronado Blvd,Santa Clara
Synertek,3001 Stender Way,Santa Clara
Technical Coatings,1000 Walsh Avenue,Santa Clara
AMI,3800 Homestead Road,Santa Clara
Intersil,1276 Hammerwood Ave,Sunnyvale
Xidex,305 Soquel Way,Sunnyvale
Zymos,477 N. Mathilda Avenue,Sunnyvale
TRW,825 Stewart Drive,Sunnyvale
Exar-Integrated,750 Palomar Avenue,Sunnyvale
Magnex Corp,6850 Santa Teresa Blvd,San Jose
Spectre Physics,2905 Stender Way,Santa Clara
Solvent Service,1021 Berryessa Road,Sunnyvale
Precision Media,1262 N. Lawrence Station Road,Sunnyvale
KTI Chemicals,1120 Sonora Ave,Sunnyvale
Pacific Nursery,1015 Martin Ave,Santa Clara
Advanced LSI,639 N. Pastorida Avenue,Sunnyvale
Lorentz Barrel & Drum,1515 S. 10th Street,San Jose
Applied Materials,3050 Bowers Ave,Santa Clara
