company,address,city
Applied Technology,645 Almanor Avenue,Sunnyvale
Burke Industries,2049 Senter Road,San Jose
IMP Corp,2830 N. 1st Street,San Jose
Sperry Univac,3300 Scott Blvd,Santa Clara
Shell Oil,2165 O'Toole Ave,San Jose
Economics Lab,640 Lenfest Road,San Jose
Amdahl,1250 E. Arques Avenue,Sunnyvale
Bell INdustries,1161 N. Fairoaks Avenue,Sunnyvale
Memotronics,1058 W. Evelyn Avenue,Sunnyvale
Safe-Way Chemical,909 Stockton Avenue,San Jose
Container Corp,2500 De La Cruz Blvd, Santa Clara
U.S. Cellulose,520 Parrot Street,San Jose
Dysan,5301 Patrick Henry Drive,Santa Clara
Hewlett Packard,350 W. Trimble Avenue,San Jose
DAP Inc.,530 Marburg Way,San Jose
